Transaction_ID,Partner_ID,Date,App_Used_For_Visit,Report_Upload_Method,Turnaround_Time_Hours
TXN95593,P001,17-01-2025,1,Digital_API,16
TXN11512,P001,07-01-2025,1,Digital_API,22
TXN33985,P001,12-01-2025,0,Manual_Email,17
TXN83518,P001,19-01-2025,0,Digital_API,45
TXN78326,P001,16-01-2025,0,Manual_Email,50
TXN74443,P001,31-03-2025,0,Manual_Email,26
TXN80419,P001,05-01-2025,0,Manual_Email,62
TXN52676,P001,28-03-2025,1,Digital_API,21
TXN69969,P001,08-01-2025,1,Digital_API,22
TXN72541,P001,11-02-2025,1,Manual_Email,63
TXN53988,P001,19-03-2025,0,Manual_Email,66
TXN18099,P001,12-02-2025,1,Manual_Email,23
TXN10422,P001,21-01-2025,0,Digital_API,9
TXN39148,P001,03-03-2025,0,Digital_API,20
TXN86043,P001,26-03-2025,1,Manual_Email,49
TXN42502,P001,28-01-2025,1,Manual_Email,16
TXN60807,P001,09-03-2025,0,Manual_Email,15
TXN17186,P001,13-01-2025,1,Digital_API,24
TXN39273,P001,17-01-2025,1,Manual_Email,57
TXN34344,P001,17-03-2025,0,Digital_API,7
TXN52583,P001,22-03-2025,0,Manual_Email,58
TXN54422,P001,14-02-2025,1,Manual_Email,12
TXN12111,P001,16-01-2025,0,Digital_API,29
TXN41380,P001,12-02-2025,1,Manual_Email,26
TXN33788,P001,30-03-2025,0,Manual_Email,52
TXN90800,P001,24-03-2025,1,Digital_API,40
TXN82152,P001,07-01-2025,1,Manual_Email,66
TXN69516,P001,14-01-2025,1,Digital_API,20
TXN67983,P001,15-03-2025,0,Manual_Email,19
TXN91937,P001,20-03-2025,0,Manual_Email,31
TXN76021,P001,15-02-2025,1,Manual_Email,59
TXN71370,P001,25-03-2025,1,Manual_Email,21
TXN72560,P001,15-03-2025,0,Manual_Email,18
TXN73168,P001,19-02-2025,0,Manual_Email,58
TXN69194,P001,24-02-2025,1,Digital_API,6
TXN45260,P001,06-01-2025,0,Digital_API,5
TXN45521,P001,11-03-2025,0,Manual_Email,72
TXN69069,P001,28-03-2025,1,Manual_Email,32
TXN78734,P001,20-01-2025,0,Manual_Email,59
TXN13781,P001,05-03-2025,0,Manual_Email,54
TXN86809,P001,09-02-2025,0,Manual_Email,54
TXN20347,P001,21-02-2025,1,Manual_Email,15
TXN29327,P001,03-01-2025,0,Digital_API,25
TXN44561,P001,13-02-2025,0,Manual_Email,63
TXN50755,P001,31-03-2025,1,Manual_Email,66
TXN85661,P001,29-03-2025,0,Manual_Email,59
TXN37544,P001,28-03-2025,1,Digital_API,38
TXN22023,P001,01-01-2025,1,Manual_Email,16
TXN11001,P001,30-01-2025,1,Manual_Email,68
TXN11827,P001,27-02-2025,1,Digital_API,44
TXN42316,P001,19-02-2025,0,Manual_Email,37
TXN29259,P001,24-02-2025,1,Digital_API,28
TXN92352,P001,09-03-2025,1,Manual_Email,35
TXN82254,P001,01-01-2025,0,Digital_API,5
TXN20760,P001,22-03-2025,1,Digital_API,20
TXN27455,P001,11-02-2025,0,Manual_Email,42
TXN79786,P001,28-03-2025,1,Manual_Email,46
TXN69199,P001,03-03-2025,1,Digital_API,47
TXN43636,P001,20-02-2025,0,Manual_Email,16
TXN22232,P001,31-03-2025,0,Manual_Email,38
TXN43496,P001,15-01-2025,1,Manual_Email,23
